iter	Passed	Remaining
0	146	146298
1	149	74417
2	151	50273
3	153	38256
4	156	31050
5	158	26222
6	160	22740
7	162	20163
8	164	18145
9	166	16518
10	168	15183
11	171	14104
12	173	13173
13	176	12401
14	178	11697
15	180	11095
16	182	10570
17	185	10132
18	188	9724
19	190	9342
20	192	8982
21	194	8662
22	196	8358
23	198	8088
24	200	7830
25	202	7603
26	205	7403
27	207	7196
28	209	7019
29	212	6859
30	214	6701
31	216	6558
32	218	6415
33	221	6280
34	223	6158
35	225	6047
36	228	5935
37	230	5827
38	232	5729
39	235	5640
40	237	5547
41	239	5454
42	241	5371
43	243	5285
44	245	5206
45	247	5132
46	249	5057
47	252	4998
48	254	4935
49	256	4871
50	258	4811
51	260	4756
52	263	4699
53	265	4642
54	267	4592
55	269	4544
56	271	4492
57	273	4442
58	275	4398
59	277	4351
60	279	4308
61	281	4265
62	284	4225
63	286	4189
64	288	4152
65	290	4112
66	292	4077
67	295	4046
68	297	4017
69	300	3987
70	302	3953
71	304	3918
72	306	3887
73	308	3858
74	310	3830
75	312	3799
76	314	3771
77	316	3741
78	318	3713
79	320	3685
80	322	3656
81	326	3655
82	327	3619
83	329	3593
84	331	3568
85	333	3542
86	335	3516
87	337	3493
88	339	3470
89	340	3447
90	342	3423
91	344	3400
92	346	3377
93	348	3355
94	349	3332
95	351	3310
96	353	3290
97	355	3268
98	357	3249
99	358	3230
100	360	3211
101	362	3192
102	364	3175
103	366	3155
104	368	3138
105	370	3120
106	371	3102
107	373	3086
108	375	3069
109	377	3053
110	379	3038
111	381	3025
112	383	3010
113	385	2997
114	387	2984
115	389	2968
116	390	2950
117	392	2936
118	394	2922
119	396	2906
120	398	2893
121	399	2877
122	401	2864
123	403	2850
124	405	2837
125	407	2825
126	408	2810
127	410	2797
128	412	2785
129	414	2773
130	416	2760
131	417	2747
132	419	2737
133	423	2735
134	425	2724
135	427	2712
136	428	2701
137	431	2692
138	432	2681
139	434	2671
140	436	2660
141	438	2646
142	440	2637
143	441	2627
144	443	2616
145	445	2608
146	447	2597
147	449	2587
148	451	2577
149	453	2567
150	454	2557
151	456	2547
152	458	2537
153	459	2526
154	461	2516
155	463	2508
156	465	2500
157	467	2492
158	469	2483
159	471	2474
160	472	2463
161	474	2454
162	476	2446
163	478	2439
164	480	2431
165	482	2421
166	483	2412
167	485	2404
168	487	2396
169	489	2389
170	491	2381
171	493	2373
172	494	2365
173	496	2357
174	498	2349
175	500	2341
176	502	2334
177	503	2327
178	505	2320
179	507	2312
180	509	2304
181	511	2297
182	513	2291
183	515	2284
184	516	2276
185	518	2270
186	520	2263
187	522	2256
188	524	2250
189	526	2243
190	528	2236
191	530	2230
192	531	2224
193	533	2217
194	535	2211
195	537	2205
196	539	2199
197	541	2194
198	543	2188
199	545	2183
