iter	Passed	Remaining
0	136	136503
1	140	70245
2	143	47716
3	146	36412
4	152	30408
5	155	25713
6	158	22498
7	162	20154
8	165	18177
9	167	16599
10	170	15307
11	172	14230
12	177	13487
13	180	12701
14	183	12035
15	185	11436
16	189	10947
17	192	10481
18	194	10052
19	196	9649
20	199	9296
21	202	8987
22	205	8717
23	207	8441
24	209	8186
25	212	7958
26	214	7734
27	217	7552
28	219	7364
29	222	7188
30	224	7022
31	227	6884
32	230	6740
33	232	6609
34	235	6482
35	237	6361
36	240	6253
37	243	6168
38	246	6079
39	250	6000
40	254	5941
41	257	5866
42	259	5782
43	262	5708
44	266	5649
45	271	5629
46	274	5558
47	276	5491
48	280	5452
49	283	5392
50	286	5332
51	289	5277
52	292	5222
53	295	5169
54	297	5109
55	300	5059
56	302	5012
57	305	4966
58	308	4921
59	311	4879
60	315	4852
61	317	4807
62	320	4759
63	322	4711
64	324	4670
65	327	4630
66	330	4595
67	332	4559
68	335	4526
69	338	4490
70	340	4457
71	342	4420
72	346	4394
73	349	4371
74	352	4345
75	355	4318
76	357	4288
77	360	4266
78	363	4238
79	366	4209
80	368	4181
81	371	4163
82	373	4125
83	376	4102
84	379	4085
85	381	4058
86	384	4033
87	387	4011
88	389	3989
89	391	3962
90	394	3942
91	397	3920
92	399	3895
93	401	3872
94	404	3852
95	407	3838
96	410	3817
97	412	3796
98	414	3776
99	417	3759
100	420	3740
101	422	3719
102	425	3706
103	428	3689
104	431	3676
105	433	3659
106	436	3643
107	439	3629
108	442	3613
109	444	3599
110	447	3582
111	449	3567
112	452	3553
113	455	3537
114	457	3520
115	460	3508
116	462	3491
117	464	3474
118	467	3461
119	469	3443
120	472	3429
121	474	3414
122	477	3402
123	479	3389
124	482	3374
125	485	3366
126	487	3351
127	490	3342
128	493	3330
129	495	3318
130	498	3309
131	501	3300
132	504	3290
133	508	3283
134	510	3271
135	512	3258
136	515	3245
137	517	3232
138	519	3220
139	522	3211
140	525	3200
141	527	3184
142	529	3170
143	531	3160
144	535	3155
145	537	3145
146	540	3135
147	543	3126
148	545	3116
149	548	3109
150	551	3100
151	553	3090
152	556	3081
153	558	3070
154	561	3060
155	564	3054
156	567	3047
157	570	3037
158	572	3028
159	575	3019
160	577	3007
161	579	2999
162	582	2990
163	584	2981
164	587	2973
165	590	2965
166	593	2958
167	595	2950
168	598	2944
169	601	2935
170	603	2924
171	605	2915
172	608	2910
173	611	2904
174	614	2898
175	617	2891
176	620	2886
177	624	2882
178	626	2874
179	628	2864
180	631	2855
181	633	2845
182	635	2835
183	637	2827
184	640	2820
185	642	2810
186	644	2801
187	646	2794
188	649	2785
189	651	2778
190	653	2769
191	656	2762
192	659	2756
193	662	2751
194	665	2746
195	669	2745
196	672	2739
197	674	2734
198	677	2727
199	679	2718
200	683	2715
201	685	2709
202	688	2705
203	691	2700
204	695	2695
205	698	2690
206	700	2683
207	702	2676
208	705	2668
209	707	2661
210	710	2656
211	713	2650
212	715	2644
213	718	2639
214	721	2635
215	724	2630
216	727	2626
217	730	2621
218	733	2616
219	736	2611
220	739	2607
221	741	2599
222	745	2596
223	748	2592
224	750	2586
225	753	2581
226	756	2576
227	758	2569
228	761	2562
229	763	2555
230	765	2548
231	770	2549
232	772	2542
233	774	2535
234	776	2529
235	779	2524
236	782	2519
237	785	2513
238	787	2507
239	790	2503
240	792	2496
241	795	2490
242	798	2486
243	800	2481
244	803	2476
245	805	2469
246	808	2464
247	810	2458
248	814	2455
249	816	2449
250	819	2444
251	821	2438
252	823	2432
253	826	2428
254	829	2424
255	832	2418
256	834	2413
257	837	2407
258	840	2403
259	843	2400
260	846	2397
261	849	2394
262	852	2388
263	855	2383
264	857	2379
265	860	2374
266	863	2371
267	866	2366
268	869	2362
269	871	2357
270	874	2352
271	876	2347
272	880	2343
273	882	2339
274	885	2334
275	888	2330
276	891	2326
277	894	2323
278	896	2317
279	899	2312
280	902	2308
281	904	2304
282	907	2298
283	909	2294
284	912	2289
285	915	2285
286	918	2281
287	920	2276
288	923	2272
289	926	2267
290	928	2262
291	930	2256
292	933	2252
293	935	2247
294	938	2242
295	940	2237
296	943	2232
297	945	2227
298	947	2221
